State,State Code,District,Party,Candidate,Incumbent,Votes,Pct%,Elected,Won Party
Alabama,AL,1st,Republician,Carl,Incumbent,139854,84.20%,TRUE,Republician
Alabama,AL,1st,Libertarian Party,Remrey,/,26197,15.80%,FALSE,Republician
Alabama,AL,2nd,Republician,Moore,Incumbent,137193,69.20%,TRUE,Republician
Alabama,AL,2nd,Democratic,Harvey-Hall,/,57800,29.10%,FALSE,Republician
Alabama,AL,2nd,Libertarian Party,Realz,/,3380,1.70%,FALSE,Republician
Alabama,AL,3rd,Republician,Rogers,Incumbent,135448,71.30%,TRUE,Republician
Alabama,AL,3rd,Democratic,Veasey,/,47770,25.10%,FALSE,Republician
Alabama,AL,3rd,Other Party,Bell,/,3826,2.00%,FALSE,Republician
Alabama,AL,3rd,Libertarian Party,Casson,/,3027,1.60%,FALSE,Republician
Alabama,AL,4th,Republician,Aderholt,Incumbent,164371,84.20%,TRUE,Republician
Alabama,AL,4th,Democratic,Neighbors,/,26628,13.60%,FALSE,Republician
Alabama,AL,4th,Libertarian Party,Cochran,/,4294,2.20%,FALSE,Republician
Alabama,AL,5th,Republician,Strong,/,141988,67.20%,TRUE,Republician
Alabama,AL,5th,Democratic,Warner-Stanton,/,62466,29.60%,FALSE,Republician
Alabama,AL,5th,Libertarian Party,Greer,/,6740,3.20%,FALSE,Republician
Alabama,AL,6th,Republician,Palmer,Incumbent,154058,84.70%,TRUE,Republician
Alabama,AL,6th,Libertarian Party,Chieffo,/,27792,15.30%,FALSE,Republician
Alabama,AL,7th,Democratic,Sewell,Incumbent,123060,63.60%,TRUE,Democratic
Alabama,AL,7th,Republician,Nichols,/,67353,34.80%,FALSE,Democratic
Alabama,AL,7th,Libertarian Party,Goodman,/,3207,1.70%,FALSE,Democratic
Alaska,AK,At Large,Democratic,Mary Peltola,Incumbent,136893,54.90%,TRUE,Democratic
Alaska,AK,At Large,Republician,Sarah Palin,/,112255,45.10%,FALSE,Democratic
Alaska,AK,At Large,Republician,Nick Begich,/,0,0.00%,FALSE,Democratic
Alaska,AK,At Large,Libertarian Party,Chris Bye,/,0,0.00%,FALSE,Democratic
Alaska,AK,At Large,Other Party,Total Write-Ins,/,0,0.00%,FALSE,Democratic
Arizona,AZ,1st,Republician,Schweikert,Incumbent,182336,50.40%,TRUE,Republician
Arizona,AZ,1st,Democratic,Hodge,/,179141,49.60%,FALSE,Republician
Arizona,AZ,2nd,Republician,Crane,/,174169,53.90%,TRUE,Republician
Arizona,AZ,2nd,Democratic,O'Halleran,Incumbent,149150,46.10%,FALSE,Republician
Arizona,AZ,3rd,Democratic,Gallego,Incumbent,108599,77.00%,TRUE,Democratic
Arizona,AZ,3rd,Republician,Zink,/,32475,23.00%,FALSE,Democratic
Arizona,AZ,4th,Democratic,Stanton,Incumbent,148941,56.10%,TRUE,Democratic
Arizona,AZ,4th,Republician,Cooper,/,116521,43.90%,FALSE,Democratic
Arizona,AZ,5th,Republician,Biggs,Incumbent,182464,56.70%,TRUE,Republician
Arizona,AZ,5th,Democratic,Ramos,/,120243,37.40%,FALSE,Republician
Arizona,AZ,5th,Independent Party,Smith,/,18851,5.90%,FALSE,Republician
Arizona,AZ,6th,Republician,Ciscomani,/,177201,50.70%,TRUE,Republician
Arizona,AZ,6th,Democratic,Engel,/,171969,49.30%,FALSE,Republician
Arizona,AZ,7th,Democratic,Grijalva,Incumbent,126418,64.50%,TRUE,Democratic
Arizona,AZ,7th,Republician,Pozzolo,/,69444,35.50%,FALSE,Democratic
Arizona,AZ,8th,Republician,Lesko,Incumbent,0,0%,TRUE,Republician
Arizona,AZ,9th,Republician,Gosar,Incumbent,0,0%,TRUE,Republician
Arkansas,AR,1st,Republician,Crawford,Incumbent,152933,73.80%,TRUE,Republician
Arkansas,AR,1st,Democratic,Hodges,/,54240,26.20%,FALSE,Republician
Arkansas,AR,2nd,Republician,Hill,Incumbent,147700,60.10%,TRUE,Republician
Arkansas,AR,2nd,Democratic,Hathaway,/,86553,35.20%,FALSE,Republician
Arkansas,AR,2nd,Libertarian Party,White,/,11564,4.70%,FALSE,Republician
Arkansas,AR,3rd,Republician,Womack,Incumbent,142270,63.70%,TRUE,Republician
Arkansas,AR,3rd,Democratic,Mallett-Hays,/,73446,32.90%,FALSE,Republician
Arkansas,AR,3rd,Libertarian Party,Kalagias,/,7637,3.40%,FALSE,Republician
Arkansas,AR,4th,Republician,Westerman,Incumbent,153694,71.00%,TRUE,Republician
Arkansas,AR,4th,Democratic,White,/,56661,26.20%,FALSE,Republician
Arkansas,AR,4th,Libertarian Party,Maxwell,/,6087,2.80%,FALSE,Republician
California,CA,1st,Republician,LaMalfa,Incumbent,152839,62.10%,TRUE,Republician
California,CA,1st,Democratic,Steiner,/,93386,37.90%,FALSE,Republician
California,CA,2nd,Democratic,Huffman,Incumbent,229720,74.40%,TRUE,Democratic
California,CA,2nd,Republician,Brower,/,79029,25.60%,FALSE,Democratic
California,CA,3rd,Republician,Kiley,/,181438,53.60%,TRUE,Republician
California,CA,3rd,Democratic,Jones,/,156761,46.40%,FALSE,Republician
